id,level,seat,quality,levelUpNeedEX,proEX,getEX,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,pro-type-5,pro-way-5,pro-value-5,pro-type-6,pro-way-6,pro-value-6,
658,28,2,8,7000,76100,76100,1,0,210000,1,1,100,9,1,100,,,,,,,,,,
659,29,2,8,7400,83100,83100,1,0,217500,1,1,100,9,1,100,,,,,,,,,,
660,30,2,8,8200,90500,90500,1,0,225000,1,1,100,9,1,100,1,1,100,,,,,,,
661,31,2,8,9000,98700,98700,1,0,232500,1,1,100,9,1,100,1,1,100,,,,,,,
662,32,2,8,9800,107700,107700,1,0,240000,1,1,100,9,1,100,1,1,100,,,,,,,
663,33,2,8,10600,117500,117500,1,0,247500,1,1,100,9,1,100,1,1,100,,,,,,,
664,34,2,8,11400,128100,128100,1,0,255000,1,1,100,9,1,100,1,1,100,,,,,,,
665,35,2,8,12200,139500,139500,1,0,262500,1,1,100,9,1,100,1,1,100,,,,,,,
666,36,2,8,13000,151700,151700,1,0,270000,1,1,100,9,1,100,1,1,100,,,,,,,
667,37,2,8,13800,164700,164700,1,0,277500,1,1,100,9,1,100,1,1,100,,,,,,,
668,38,2,8,14600,178500,178500,1,0,285000,1,1,100,9,1,100,1,1,100,,,,,,,
669,39,2,8,15400,193100,193100,1,0,292500,1,1,100,9,1,100,1,1,100,,,,,,,
670,40,2,8,,208500,208500,1,0,300000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
671,0,3,8,500,,0,,,,,,,,,,,,,,,,,,,
672,1,3,8,600,500,500,2,0,750,,,,,,,,,,,,,,,,
673,2,3,8,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
674,3,3,8,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
675,4,3,8,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
676,5,3,8,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
677,6,3,8,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
678,7,3,8,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
679,8,3,8,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
680,9,3,8,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
681,10,3,8,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
682,11,3,8,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
683,12,3,8,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
684,13,3,8,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
685,14,3,8,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
686,15,3,8,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
687,16,3,8,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
688,17,3,8,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
689,18,3,8,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
690,19,3,8,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
691,20,3,8,3800,34500,34500,2,0,15000,2,1,100,5,1,100,,,,,,,,,,
692,21,3,8,4200,38300,38300,2,0,15750,2,1,100,5,1,100,,,,,,,,,,
693,22,3,8,4600,42500,42500,2,0,16500,2,1,100,5,1,100,,,,,,,,,,
694,23,3,8,5000,47100,47100,2,0,17250,2,1,100,5,1,100,,,,,,,,,,
695,24,3,8,5400,52100,52100,2,0,18000,2,1,100,5,1,100,,,,,,,,,,
696,25,3,8,5800,57500,57500,2,0,18750,2,1,100,5,1,100,,,,,,,,,,
697,26,3,8,6200,63300,63300,2,0,19500,2,1,100,5,1,100,,,,,,,,,,
698,27,3,8,6600,69500,69500,2,0,20250,2,1,100,5,1,100,,,,,,,,,,
699,28,3,8,7000,76100,76100,2,0,21000,2,1,100,5,1,100,,,,,,,,,,
700,29,3,8,7400,83100,83100,2,0,21750,2,1,100,5,1,100,,,,,,,,,,
701,30,3,8,8200,90500,90500,2,0,22500,2,1,100,5,1,100,2,1,100,,,,,,,
702,31,3,8,9000,98700,98700,2,0,23250,2,1,100,5,1,100,2,1,100,,,,,,,
703,32,3,8,9800,107700,107700,2,0,24000,2,1,100,5,1,100,2,1,100,,,,,,,
704,33,3,8,10600,117500,117500,2,0,24750,2,1,100,5,1,100,2,1,100,,,,,,,
705,34,3,8,11400,128100,128100,2,0,25500,2,1,100,5,1,100,2,1,100,,,,,,,
706,35,3,8,12200,139500,139500,2,0,26250,2,1,100,5,1,100,2,1,100,,,,,,,
707,36,3,8,13000,151700,151700,2,0,27000,2,1,100,5,1,100,2,1,100,,,,,,,
708,37,3,8,13800,164700,164700,2,0,27750,2,1,100,5,1,100,2,1,100,,,,,,,
709,38,3,8,14600,178500,178500,2,0,28500,2,1,100,5,1,100,2,1,100,,,,,,,
710,39,3,8,15400,193100,193100,2,0,29250,2,1,100,5,1,100,2,1,100,,,,,,,
711,40,3,8,,208500,208500,2,0,30000,2,1,100,5,1,100,2,1,100,5,1,100,,,,
712,0,4,8,500,,0,,,,,,,,,,,,,,,,,,,
713,1,4,8,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
714,2,4,8,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
715,3,4,8,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
716,4,4,8,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
717,5,4,8,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
718,6,4,8,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
719,7,4,8,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
720,8,4,8,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
721,9,4,8,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
722,10,4,8,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
723,11,4,8,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
724,12,4,8,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
725,13,4,8,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
726,14,4,8,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
727,15,4,8,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
728,16,4,8,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
729,17,4,8,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
730,18,4,8,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
731,19,4,8,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
732,20,4,8,3800,34500,34500,1,0,150000,1,1,100,7,1,100,,,,,,,,,,
733,21,4,8,4200,38300,38300,1,0,157500,1,1,100,7,1,100,,,,,,,,,,
734,22,4,8,4600,42500,42500,1,0,165000,1,1,100,7,1,100,,,,,,,,,,
735,23,4,8,5000,47100,47100,1,0,172500,1,1,100,7,1,100,,,,,,,,,,
736,24,4,8,5400,52100,52100,1,0,180000,1,1,100,7,1,100,,,,,,,,,,
737,25,4,8,5800,57500,57500,1,0,187500,1,1,100,7,1,100,,,,,,,,,,
738,26,4,8,6200,63300,63300,1,0,195000,1,1,100,7,1,100,,,,,,,,,,
739,27,4,8,6600,69500,69500,1,0,202500,1,1,100,7,1,100,,,,,,,,,,
740,28,4,8,7000,76100,76100,1,0,210000,1,1,100,7,1,100,,,,,,,,,,
741,29,4,8,7400,83100,83100,1,0,217500,1,1,100,7,1,100,,,,,,,,,,
742,30,4,8,8200,90500,90500,1,0,225000,1,1,100,7,1,100,1,1,100,,,,,,,
743,31,4,8,9000,98700,98700,1,0,232500,1,1,100,7,1,100,1,1,100,,,,,,,
744,32,4,8,9800,107700,107700,1,0,240000,1,1,100,7,1,100,1,1,100,,,,,,,
745,33,4,8,10600,117500,117500,1,0,247500,1,1,100,7,1,100,1,1,100,,,,,,,
746,34,4,8,11400,128100,128100,1,0,255000,1,1,100,7,1,100,1,1,100,,,,,,,
747,35,4,8,12200,139500,139500,1,0,262500,1,1,100,7,1,100,1,1,100,,,,,,,
748,36,4,8,13000,151700,151700,1,0,270000,1,1,100,7,1,100,1,1,100,,,,,,,
749,37,4,8,13800,164700,164700,1,0,277500,1,1,100,7,1,100,1,1,100,,,,,,,
750,38,4,8,14600,178500,178500,1,0,285000,1,1,100,7,1,100,1,1,100,,,,,,,
751,39,4,8,15400,193100,193100,1,0,292500,1,1,100,7,1,100,1,1,100,,,,,,,
752,40,4,8,,208500,208500,1,0,300000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
753,0,1,9,500,,0,,,,,,,,,,,,,,,,,,,
754,1,1,9,600,500,500,2,0,900,,,,,,,,,,,,,,,,
755,2,1,9,700,1100,1100,2,0,1800,,,,,,,,,,,,,,,,
756,3,1,9,800,1800,1800,2,0,2700,,,,,,,,,,,,,,,,
757,4,1,9,900,2600,2600,2,0,3600,,,,,,,,,,,,,,,,
758,5,1,9,1000,3500,3500,2,0,4500,,,,,,,,,,,,,,,,
759,6,1,9,1100,4500,4500,2,0,5400,,,,,,,,,,,,,,,,
760,7,1,9,1200,5600,5600,2,0,6300,,,,,,,,,,,,,,,,
761,8,1,9,1300,6800,6800,2,0,7200,,,,,,,,,,,,,,,,
762,9,1,9,1400,8100,8100,2,0,8100,,,,,,,,,,,,,,,,
763,10,1,9,1600,9500,9500,2,0,9000,2,1,100,,,,,,,,,,,,,
764,11,1,9,1800,11100,11100,2,0,9900,2,1,100,,,,,,,,,,,,,
765,12,1,9,2000,12900,12900,2,0,10800,2,1,100,,,,,,,,,,,,,
766,13,1,9,2200,14900,14900,2,0,11700,2,1,100,,,,,,,,,,,,,
767,14,1,9,2400,17100,17100,2,0,12600,2,1,100,,,,,,,,,,,,,
768,15,1,9,2600,19500,19500,2,0,13500,2,1,100,,,,,,,,,,,,,
769,16,1,9,2800,22100,22100,2,0,14400,2,1,100,,,,,,,,,,,,,
770,17,1,9,3000,24900,24900,2,0,15300,2,1,100,,,,,,,,,,,,,
771,18,1,9,3200,27900,27900,2,0,16200,2,1,100,,,,,,,,,,,,,
772,19,1,9,3400,31100,31100,2,0,17100,2,1,100,,,,,,,,,,,,,
773,20,1,9,3800,34500,34500,2,0,18000,2,1,100,8,1,100,,,,,,,,,,
774,21,1,9,4200,38300,38300,2,0,18900,2,1,100,8,1,100,,,,,,,,,,
775,22,1,9,4600,42500,42500,2,0,19800,2,1,100,8,1,100,,,,,,,,,,
776,23,1,9,5000,47100,47100,2,0,20700,2,1,100,8,1,100,,,,,,,,,,
777,24,1,9,5400,52100,52100,2,0,21600,2,1,100,8,1,100,,,,,,,,,,
778,25,1,9,5800,57500,57500,2,0,22500,2,1,100,8,1,100,,,,,,,,,,
779,26,1,9,6200,63300,63300,2,0,23400,2,1,100,8,1,100,,,,,,,,,,
780,27,1,9,6600,69500,69500,2,0,24300,2,1,100,8,1,100,,,,,,,,,,
781,28,1,9,7000,76100,76100,2,0,25200,2,1,100,8,1,100,,,,,,,,,,
782,29,1,9,7400,83100,83100,2,0,26100,2,1,100,8,1,100,,,,,,,,,,
783,30,1,9,8200,90500,90500,2,0,27000,2,1,100,8,1,100,2,1,100,,,,,,,
784,31,1,9,9000,98700,98700,2,0,27900,2,1,100,8,1,100,2,1,100,,,,,,,
785,32,1,9,9800,107700,107700,2,0,28800,2,1,100,8,1,100,2,1,100,,,,,,,
786,33,1,9,10600,117500,117500,2,0,29700,2,1,100,8,1,100,2,1,100,,,,,,,
787,34,1,9,11400,128100,128100,2,0,30600,2,1,100,8,1,100,2,1,100,,,,,,,
788,35,1,9,12200,139500,139500,2,0,31500,2,1,100,8,1,100,2,1,100,,,,,,,
789,36,1,9,13000,151700,151700,2,0,32400,2,1,100,8,1,100,2,1,100,,,,,,,
790,37,1,9,13800,164700,164700,2,0,33300,2,1,100,8,1,100,2,1,100,,,,,,,
791,38,1,9,14600,178500,178500,2,0,34200,2,1,100,8,1,100,2,1,100,,,,,,,
792,39,1,9,15400,193100,193100,2,0,35100,2,1,100,8,1,100,2,1,100,,,,,,,
793,40,1,9,17000,208500,208500,2,0,36000,2,1,100,8,1,100,2,1,100,8,1,100,,,,
794,41,1,9,18600,225500,225500,2,0,36900,2,1,100,8,1,100,2,1,100,8,1,100,,,,
795,42,1,9,20200,244100,244100,2,0,37800,2,1,100,8,1,100,2,1,100,8,1,100,,,,
796,43,1,9,21800,264300,264300,2,0,38700,2,1,100,8,1,100,2,1,100,8,1,100,,,,
797,44,1,9,23400,286100,286100,2,0,39600,2,1,100,8,1,100,2,1,100,8,1,100,,,,
798,45,1,9,25000,309500,309500,2,0,40500,2,1,100,8,1,100,2,1,100,8,1,100,,,,
799,46,1,9,26600,334500,334500,2,0,41400,2,1,100,8,1,100,2,1,100,8,1,100,,,,
800,47,1,9,28200,361100,361100,2,0,42300,2,1,100,8,1,100,2,1,100,8,1,100,,,,
801,48,1,9,29800,389300,389300,2,0,43200,2,1,100,8,1,100,2,1,100,8,1,100,,,,
802,49,1,9,31400,419100,419100,2,0,44100,2,1,100,8,1,100,2,1,100,8,1,100,,,,
803,50,1,9,,450500,450500,2,0,45000,2,1,100,8,1,100,2,1,100,8,1,100,2,1,100,
804,0,2,9,500,,0,,,,,,,,,,,,,,,,,,,
805,1,2,9,600,500,500,1,0,9000,,,,,,,,,,,,,,,,
806,2,2,9,700,1100,1100,1,0,18000,,,,,,,,,,,,,,,,
807,3,2,9,800,1800,1800,1,0,27000,,,,,,,,,,,,,,,,
808,4,2,9,900,2600,2600,1,0,36000,,,,,,,,,,,,,,,,
809,5,2,9,1000,3500,3500,1,0,45000,,,,,,,,,,,,,,,,
810,6,2,9,1100,4500,4500,1,0,54000,,,,,,,,,,,,,,,,
811,7,2,9,1200,5600,5600,1,0,63000,,,,,,,,,,,,,,,,
812,8,2,9,1300,6800,6800,1,0,72000,,,,,,,,,,,,,,,,
813,9,2,9,1400,8100,8100,1,0,81000,,,,,,,,,,,,,,,,
814,10,2,9,1600,9500,9500,1,0,90000,1,1,100,,,,,,,,,,,,,
815,11,2,9,1800,11100,11100,1,0,99000,1,1,100,,,,,,,,,,,,,
816,12,2,9,2000,12900,12900,1,0,108000,1,1,100,,,,,,,,,,,,,
817,13,2,9,2200,14900,14900,1,0,117000,1,1,100,,,,,,,,,,,,,
818,14,2,9,2400,17100,17100,1,0,126000,1,1,100,,,,,,,,,,,,,
819,15,2,9,2600,19500,19500,1,0,135000,1,1,100,,,,,,,,,,,,,
820,16,2,9,2800,22100,22100,1,0,144000,1,1,100,,,,,,,,,,,,,
821,17,2,9,3000,24900,24900,1,0,153000,1,1,100,,,,,,,,,,,,,
822,18,2,9,3200,27900,27900,1,0,162000,1,1,100,,,,,,,,,,,,,
823,19,2,9,3400,31100,31100,1,0,171000,1,1,100,,,,,,,,,,,,,
824,20,2,9,3800,34500,34500,1,0,180000,1,1,100,9,1,100,,,,,,,,,,
825,21,2,9,4200,38300,38300,1,0,189000,1,1,100,9,1,100,,,,,,,,,,
826,22,2,9,4600,42500,42500,1,0,198000,1,1,100,9,1,100,,,,,,,,,,
827,23,2,9,5000,47100,47100,1,0,207000,1,1,100,9,1,100,,,,,,,,,,
828,24,2,9,5400,52100,52100,1,0,216000,1,1,100,9,1,100,,,,,,,,,,
829,25,2,9,5800,57500,57500,1,0,225000,1,1,100,9,1,100,,,,,,,,,,
830,26,2,9,6200,63300,63300,1,0,234000,1,1,100,9,1,100,,,,,,,,,,
831,27,2,9,6600,69500,69500,1,0,243000,1,1,100,9,1,100,,,,,,,,,,
832,28,2,9,7000,76100,76100,1,0,252000,1,1,100,9,1,100,,,,,,,,,,
833,29,2,9,7400,83100,83100,1,0,261000,1,1,100,9,1,100,,,,,,,,,,
834,30,2,9,8200,90500,90500,1,0,270000,1,1,100,9,1,100,1,1,100,,,,,,,
835,31,2,9,9000,98700,98700,1,0,279000,1,1,100,9,1,100,1,1,100,,,,,,,
836,32,2,9,9800,107700,107700,1,0,288000,1,1,100,9,1,100,1,1,100,,,,,,,
837,33,2,9,10600,117500,117500,1,0,297000,1,1,100,9,1,100,1,1,100,,,,,,,
838,34,2,9,11400,128100,128100,1,0,306000,1,1,100,9,1,100,1,1,100,,,,,,,
839,35,2,9,12200,139500,139500,1,0,315000,1,1,100,9,1,100,1,1,100,,,,,,,
840,36,2,9,13000,151700,151700,1,0,324000,1,1,100,9,1,100,1,1,100,,,,,,,
841,37,2,9,13800,164700,164700,1,0,333000,1,1,100,9,1,100,1,1,100,,,,,,,
842,38,2,9,14600,178500,178500,1,0,342000,1,1,100,9,1,100,1,1,100,,,,,,,
843,39,2,9,15400,193100,193100,1,0,351000,1,1,100,9,1,100,1,1,100,,,,,,,
844,40,2,9,17000,208500,208500,1,0,360000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
845,41,2,9,18600,225500,225500,1,0,369000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
846,42,2,9,20200,244100,244100,1,0,378000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
847,43,2,9,21800,264300,264300,1,0,387000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
848,44,2,9,23400,286100,286100,1,0,396000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
849,45,2,9,25000,309500,309500,1,0,405000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
850,46,2,9,26600,334500,334500,1,0,414000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
851,47,2,9,28200,361100,361100,1,0,423000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
852,48,2,9,29800,389300,389300,1,0,432000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
853,49,2,9,31400,419100,419100,1,0,441000,1,1,100,9,1,100,1,1,100,9,1,100,,,,
854,50,2,9,,450500,450500,1,0,450000,1,1,100,9,1,100,1,1,100,9,1,100,1,1,100,
855,0,3,9,500,,0,,,,,,,,,,,,,,,,,,,
856,1,3,9,600,500,500,2,0,900,,,,,,,,,,,,,,,,
857,2,3,9,700,1100,1100,2,0,1800,,,,,,,,,,,,,,,,
858,3,3,9,800,1800,1800,2,0,2700,,,,,,,,,,,,,,,,
859,4,3,9,900,2600,2600,2,0,3600,,,,,,,,,,,,,,,,
860,5,3,9,1000,3500,3500,2,0,4500,,,,,,,,,,,,,,,,
861,6,3,9,1100,4500,4500,2,0,5400,,,,,,,,,,,,,,,,
862,7,3,9,1200,5600,5600,2,0,6300,,,,,,,,,,,,,,,,
863,8,3,9,1300,6800,6800,2,0,7200,,,,,,,,,,,,,,,,
864,9,3,9,1400,8100,8100,2,0,8100,,,,,,,,,,,,,,,,
865,10,3,9,1600,9500,9500,2,0,9000,2,1,100,,,,,,,,,,,,,
866,11,3,9,1800,11100,11100,2,0,9900,2,1,100,,,,,,,,,,,,,
867,12,3,9,2000,12900,12900,2,0,10800,2,1,100,,,,,,,,,,,,,
868,13,3,9,2200,14900,14900,2,0,11700,2,1,100,,,,,,,,,,,,,
869,14,3,9,2400,17100,17100,2,0,12600,2,1,100,,,,,,,,,,,,,
870,15,3,9,2600,19500,19500,2,0,13500,2,1,100,,,,,,,,,,,,,
871,16,3,9,2800,22100,22100,2,0,14400,2,1,100,,,,,,,,,,,,,
872,17,3,9,3000,24900,24900,2,0,15300,2,1,100,,,,,,,,,,,,,
873,18,3,9,3200,27900,27900,2,0,16200,2,1,100,,,,,,,,,,,,,
874,19,3,9,3400,31100,31100,2,0,17100,2,1,100,,,,,,,,,,,,,
875,20,3,9,3800,34500,34500,2,0,18000,2,1,100,5,1,100,,,,,,,,,,
876,21,3,9,4200,38300,38300,2,0,18900,2,1,100,5,1,100,,,,,,,,,,
877,22,3,9,4600,42500,42500,2,0,19800,2,1,100,5,1,100,,,,,,,,,,
878,23,3,9,5000,47100,47100,2,0,20700,2,1,100,5,1,100,,,,,,,,,,
879,24,3,9,5400,52100,52100,2,0,21600,2,1,100,5,1,100,,,,,,,,,,
880,25,3,9,5800,57500,57500,2,0,22500,2,1,100,5,1,100,,,,,,,,,,
881,26,3,9,6200,63300,63300,2,0,23400,2,1,100,5,1,100,,,,,,,,,,
882,27,3,9,6600,69500,69500,2,0,24300,2,1,100,5,1,100,,,,,,,,,,
883,28,3,9,7000,76100,76100,2,0,25200,2,1,100,5,1,100,,,,,,,,,,
884,29,3,9,7400,83100,83100,2,0,26100,2,1,100,5,1,100,,,,,,,,,,
885,30,3,9,8200,90500,90500,2,0,27000,2,1,100,5,1,100,2,1,100,,,,,,,
886,31,3,9,9000,98700,98700,2,0,27900,2,1,100,5,1,100,2,1,100,,,,,,,
887,32,3,9,9800,107700,107700,2,0,28800,2,1,100,5,1,100,2,1,100,,,,,,,
888,33,3,9,10600,117500,117500,2,0,29700,2,1,100,5,1,100,2,1,100,,,,,,,
889,34,3,9,11400,128100,128100,2,0,30600,2,1,100,5,1,100,2,1,100,,,,,,,
890,35,3,9,12200,139500,139500,2,0,31500,2,1,100,5,1,100,2,1,100,,,,,,,
891,36,3,9,13000,151700,151700,2,0,32400,2,1,100,5,1,100,2,1,100,,,,,,,
892,37,3,9,13800,164700,164700,2,0,33300,2,1,100,5,1,100,2,1,100,,,,,,,
893,38,3,9,14600,178500,178500,2,0,34200,2,1,100,5,1,100,2,1,100,,,,,,,
894,39,3,9,15400,193100,193100,2,0,35100,2,1,100,5,1,100,2,1,100,,,,,,,
895,40,3,9,17000,208500,208500,2,0,36000,2,1,100,5,1,100,2,1,100,5,1,100,,,,
896,41,3,9,18600,225500,225500,2,0,36900,2,1,100,5,1,100,2,1,100,5,1,100,,,,
897,42,3,9,20200,244100,244100,2,0,37800,2,1,100,5,1,100,2,1,100,5,1,100,,,,
898,43,3,9,21800,264300,264300,2,0,38700,2,1,100,5,1,100,2,1,100,5,1,100,,,,
899,44,3,9,23400,286100,286100,2,0,39600,2,1,100,5,1,100,2,1,100,5,1,100,,,,
900,45,3,9,25000,309500,309500,2,0,40500,2,1,100,5,1,100,2,1,100,5,1,100,,,,
901,46,3,9,26600,334500,334500,2,0,41400,2,1,100,5,1,100,2,1,100,5,1,100,,,,
902,47,3,9,28200,361100,361100,2,0,42300,2,1,100,5,1,100,2,1,100,5,1,100,,,,
903,48,3,9,29800,389300,389300,2,0,43200,2,1,100,5,1,100,2,1,100,5,1,100,,,,
904,49,3,9,31400,419100,419100,2,0,44100,2,1,100,5,1,100,2,1,100,5,1,100,,,,
905,50,3,9,,450500,450500,2,0,45000,2,1,100,5,1,100,2,1,100,5,1,100,2,1,100,
906,0,4,9,500,,0,,,,,,,,,,,,,,,,,,,
907,1,4,9,600,500,500,1,0,9000,,,,,,,,,,,,,,,,
908,2,4,9,700,1100,1100,1,0,18000,,,,,,,,,,,,,,,,
909,3,4,9,800,1800,1800,1,0,27000,,,,,,,,,,,,,,,,
910,4,4,9,900,2600,2600,1,0,36000,,,,,,,,,,,,,,,,
911,5,4,9,1000,3500,3500,1,0,45000,,,,,,,,,,,,,,,,
912,6,4,9,1100,4500,4500,1,0,54000,,,,,,,,,,,,,,,,
913,7,4,9,1200,5600,5600,1,0,63000,,,,,,,,,,,,,,,,
914,8,4,9,1300,6800,6800,1,0,72000,,,,,,,,,,,,,,,,
915,9,4,9,1400,8100,8100,1,0,81000,,,,,,,,,,,,,,,,
916,10,4,9,1600,9500,9500,1,0,90000,1,1,100,,,,,,,,,,,,,
917,11,4,9,1800,11100,11100,1,0,99000,1,1,100,,,,,,,,,,,,,
918,12,4,9,2000,12900,12900,1,0,108000,1,1,100,,,,,,,,,,,,,
919,13,4,9,2200,14900,14900,1,0,117000,1,1,100,,,,,,,,,,,,,
920,14,4,9,2400,17100,17100,1,0,126000,1,1,100,,,,,,,,,,,,,
921,15,4,9,2600,19500,19500,1,0,135000,1,1,100,,,,,,,,,,,,,
922,16,4,9,2800,22100,22100,1,0,144000,1,1,100,,,,,,,,,,,,,
923,17,4,9,3000,24900,24900,1,0,153000,1,1,100,,,,,,,,,,,,,
924,18,4,9,3200,27900,27900,1,0,162000,1,1,100,,,,,,,,,,,,,
925,19,4,9,3400,31100,31100,1,0,171000,1,1,100,,,,,,,,,,,,,
926,20,4,9,3800,34500,34500,1,0,180000,1,1,100,7,1,100,,,,,,,,,,
927,21,4,9,4200,38300,38300,1,0,189000,1,1,100,7,1,100,,,,,,,,,,
928,22,4,9,4600,42500,42500,1,0,198000,1,1,100,7,1,100,,,,,,,,,,
929,23,4,9,5000,47100,47100,1,0,207000,1,1,100,7,1,100,,,,,,,,,,
930,24,4,9,5400,52100,52100,1,0,216000,1,1,100,7,1,100,,,,,,,,,,
931,25,4,9,5800,57500,57500,1,0,225000,1,1,100,7,1,100,,,,,,,,,,
932,26,4,9,6200,63300,63300,1,0,234000,1,1,100,7,1,100,,,,,,,,,,
933,27,4,9,6600,69500,69500,1,0,243000,1,1,100,7,1,100,,,,,,,,,,
934,28,4,9,7000,76100,76100,1,0,252000,1,1,100,7,1,100,,,,,,,,,,
935,29,4,9,7400,83100,83100,1,0,261000,1,1,100,7,1,100,,,,,,,,,,
936,30,4,9,8200,90500,90500,1,0,270000,1,1,100,7,1,100,1,1,100,,,,,,,
937,31,4,9,9000,98700,98700,1,0,279000,1,1,100,7,1,100,1,1,100,,,,,,,
938,32,4,9,9800,107700,107700,1,0,288000,1,1,100,7,1,100,1,1,100,,,,,,,
939,33,4,9,10600,117500,117500,1,0,297000,1,1,100,7,1,100,1,1,100,,,,,,,
940,34,4,9,11400,128100,128100,1,0,306000,1,1,100,7,1,100,1,1,100,,,,,,,
941,35,4,9,12200,139500,139500,1,0,315000,1,1,100,7,1,100,1,1,100,,,,,,,
942,36,4,9,13000,151700,151700,1,0,324000,1,1,100,7,1,100,1,1,100,,,,,,,
943,37,4,9,13800,164700,164700,1,0,333000,1,1,100,7,1,100,1,1,100,,,,,,,
944,38,4,9,14600,178500,178500,1,0,342000,1,1,100,7,1,100,1,1,100,,,,,,,
945,39,4,9,15400,193100,193100,1,0,351000,1,1,100,7,1,100,1,1,100,,,,,,,
946,40,4,9,17000,208500,208500,1,0,360000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
947,41,4,9,18600,225500,225500,1,0,369000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
948,42,4,9,20200,244100,244100,1,0,378000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
949,43,4,9,21800,264300,264300,1,0,387000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
950,44,4,9,23400,286100,286100,1,0,396000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
951,45,4,9,25000,309500,309500,1,0,405000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
952,46,4,9,26600,334500,334500,1,0,414000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
953,47,4,9,28200,361100,361100,1,0,423000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
954,48,4,9,29800,389300,389300,1,0,432000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
955,49,4,9,31400,419100,419100,1,0,441000,1,1,100,7,1,100,1,1,100,7,1,100,,,,
956,50,4,9,,450500,450500,1,0,450000,1,1,100,7,1,100,1,1,100,7,1,100,1,1,100,
